_id,Year/Année,Name/Nom,Frequency/Fréquence
351,1917,PHYLIS,19
352,1917,PHYLISS,6
353,1917,PHYLLIS,186
354,1917,PRISCILLA,12
355,1917,RACHAEL,10
356,1917,RACHEL,33
357,1917,RAY,6
358,1917,REBECCA,27
359,1917,REGINA,10
360,1917,RENA,14
361,1917,RETA,107
362,1917,RETTA,13
363,1917,REVA,8
364,1917,RHEA,19
365,1917,RHODA,21
366,1917,RITA,80
367,1917,ROBERTA,23
368,1917,ROSA,31
369,1917,ROSALIE,7
370,1917,ROSE,151
371,1917,ROSELLA,7
372,1917,ROSEMARY,7
373,1917,ROSETTA,12
374,1917,ROSIE,25
375,1917,ROSINA,15
376,1917,RUBY,166
377,1917,RUTH,412
378,1917,SADIE,54
379,1917,SARA,12
380,1917,SARAH,171
381,1917,SELINA,6
382,1917,SELMA,9
383,1917,SHIRLEY,37
384,1917,SIMONE,12
385,1917,SIMONNE,8
386,1917,SOPHIA,15
387,1917,SOPHIE,18
388,1917,STELLA,81
389,1917,STEPHANIA,10
390,1917,STEPHANIE,8
391,1917,SUSAN,15
392,1917,SYBIL,14
393,1917,SYLVIA,49
394,1917,TERESA,20
395,1917,THEDA,9
396,1917,THELMA,187
397,1917,THERESA,33
398,1917,THORA,6
399,1917,TILLIE,6
400,1917,TOINI,6
401,1917,UNA,9
402,1917,VALERIE,6
403,1917,VALMA,9
404,1917,VELMA,83
405,1917,VERA,232
406,1917,VERDA,9
407,1917,VERLA,8
408,1917,VERNA,142
409,1917,VERONA,6
410,1917,VERONICA,33
411,1917,VICTORIA,40
412,1917,VIDA,12
413,1917,VIMY,7
414,1917,VINA,6
415,1917,VIOLA,101
416,1917,VIOLET,262
417,1917,VIRGINIA,38
418,1917,VIVIAN,58
419,1917,WANDA,12
420,1917,WILDA,11
421,1917,WILHELMINA,8
422,1917,WILMA,40
423,1917,WINIFRED,43
424,1917,WINNIFRED,121
425,1917,YETTA,7
426,1917,YVETTE,12
427,1917,YVONNE,14
428,1917,ZELMA,11
429,1918,ADA,95
430,1918,ADELAIDE,10
431,1918,ADELE,15
432,1918,ADELINE,19
433,1918,AGNES,200
434,1918,AILEEN,31
435,1918,ALBERTA,34
436,1918,ALBERTINE,6
437,1918,ALETA,8
438,1918,ALETHA,6
439,1918,ALFREDA,8
440,1918,ALICE,314
441,1918,ALINE,10
442,1918,ALMA,135
443,1918,ALTA,12
444,1918,ALVA,7
445,1918,AMELIA,29
446,1918,AMY,26
447,1918,ANASTASIA,9
448,1918,ANGELA,14
449,1918,ANGELINA,20
450,1918,ANIE,6
451,1918,ANITA,23
452,1918,ANN,31
453,1918,ANNA,248
454,1918,ANNE,55
455,1918,ANNIE,429
456,1918,ANTOINETTE,10
457,1918,ARLENE,6
458,1918,AUDREY,223
459,1918,AUDRY,20
460,1918,BARBARA,99
461,1918,BEATRICE,228
462,1918,BELLA,22
463,1918,BELVA,6
464,1918,BERNADETTE,14
465,1918,BERNICE,87
466,1918,BERTHA,128
467,1918,BERYL,16
468,1918,BESSIE,120
469,1918,BETTY,89
470,1918,BEULAH,35
471,1918,BEVERLY,6
