year,gender,name,freq
1918,Female,ELLEN,129
1918,Female,ELMA,20
1918,Female,ELSA,9
1918,Female,ELSIE,218
1918,Female,ELVA,47
1918,Female,EMILIA,8
1918,Female,EMILY,71
1918,Female,EMMA,81
1918,Female,ENA,6
1918,Female,ENID,15
1918,Female,ERMA,36
1918,Female,ESTELLA,15
1918,Female,ESTELLE,6
1918,Female,ESTER,18
1918,Female,ESTHER,72
1918,Female,ETHEL,266
1918,Female,ETTA,21
1918,Female,ETTIE,8
1918,Female,EUNICE,33
1918,Female,EUPHEMIA,6
1918,Female,EVA,223
1918,Female,EVALINE,10
1918,Female,EVELIN,6
1918,Female,EVELINE,20
1918,Female,EVELYN,380
1918,Female,EVELYNE,6
1918,Female,FANNIE,8
1918,Female,FANNY,22
1918,Female,FAY,7
1918,Female,FERN,25
1918,Female,FERNANDE,6
1918,Female,FLORA,45
1918,Female,FLORANCE,12
1918,Female,FLORENCE,522
1918,Female,FLOSSIE,19
1918,Female,FRANCES,265
1918,Female,FRANCESCA,7
1918,Female,FRANCIS,82
1918,Female,FREDA,59
1918,Female,GABRIELLE,6
1918,Female,GENEVA,9
1918,Female,GENEVIEVE,20
1918,Female,GEORGENA,6
1918,Female,GEORGIA,14
1918,Female,GEORGINA,52
1918,Female,GERALDINE,44
1918,Female,GERMAINE,11
1918,Female,GERTIE,9
1918,Female,GERTRUDE,249
1918,Female,GILBERTE,7
1918,Female,GLADIS,7
1918,Female,GLADYS,355
1918,Female,GOLDIE,13
1918,Female,GRACE,257
1918,Female,GRACIE,9
1918,Female,GRETA,25
1918,Female,GWENDOLINE,16
1918,Female,GWENDOLYN,32
1918,Female,HANNAH,29
1918,Female,HARRIET,32
1918,Female,HARRIETT,10
1918,Female,HATTIE,6
1918,Female,HAZEL,279
1918,Female,HELEN,924
1918,Female,HELENA,44
1918,Female,HELENE,12
1918,Female,HELLEN,31
1918,Female,HELVI,6
1918,Female,HENRIETTA,14
1918,Female,HESTER,7
1918,Female,HILDA,152
1918,Female,HOPE,7
1918,Female,IDA,105
1918,Female,ILA,27
1918,Female,ILENE,18
1918,Female,INA,28
1918,Female,INEZ,26
1918,Female,IOLA,8
1918,Female,IRENE,293
1918,Female,IRIS,32
1918,Female,IRMA,30
1918,Female,ISABEL,77
1918,Female,ISABELL,30
1918,Female,ISABELLA,51
1918,Female,ISABELLE,34
1918,Female,ISOBEL,24
1918,Female,IVA,45
1918,Female,IVY,58
1918,Female,J,14
1918,Female,JACQUELINE,8
1918,Female,JAMES,7
1918,Female,JANE,68
1918,Female,JANET,50
1918,Female,JANETTE,7
1918,Female,JEAN,504
1918,Female,JEANETTE,17
